tag,sentence
COMMAND:ACTION,Accelerate the process by automating the workflow
COMMAND:ACTION,Activate the air conditioner to 68 degrees
COMMAND:ACTION,Activate the air conditioning
COMMAND:ACTION,Activate the alarm system
COMMAND:ACTION,Activate the home security system
COMMAND:ACTION,Activate the language learning app
COMMAND:ACTION,Activate the night mode on the screen
COMMAND:ACTION,Activate the smart irrigation system now
COMMAND:ACTION,Add "The History of Rome" to my podcast queue
COMMAND:ACTION,Add "The Office" to my watchlist
COMMAND:ACTION,Add "buy milk" to my to-do list
COMMAND:ACTION,Add this audiobook to my favorites
COMMAND:ACTION,Add this audiobook to my library
COMMAND:ACTION,Add this movie to my watchlist
COMMAND:ACTION,Add this podcast to my favorites
COMMAND:ACTION,Add this show to my watchlist
COMMAND:ACTION,Add this song to my favorites
COMMAND:ACTION,Add this song to my playlist
COMMAND:ACTION,Adjust the angle of the monitor
COMMAND:ACTION,Adjust the bedroom thermostat to 68 degrees
COMMAND:ACTION,Adjust the blinds to 50 percent
COMMAND:ACTION,Adjust the blinds to half-open
COMMAND:ACTION,Adjust the brightness of the living room lights
COMMAND:ACTION,Adjust the brightness of the screen
COMMAND:ACTION,Adjust the irrigation system to water the garden
COMMAND:ACTION,Adjust the smart thermostat to 68 degrees
COMMAND:ACTION,Adjust the speech speed to medium
COMMAND:ACTION,Adjust the temperature in the bedroom
COMMAND:ACTION,Adjust the temperature of the water heater
COMMAND:ACTION,Adjust the thermostat to 70 degrees
COMMAND:ACTION,Adjust the thermostat to 72 degrees
COMMAND:ACTION,Adjust the volume on the kitchen speaker to low
COMMAND:ACTION,Adjust the volume on the smart speaker
COMMAND:ACTION,Adjust the volume to 50 percent
COMMAND:ACTION,Allocate funds for the new project
COMMAND:ACTION,Allocate more resources to the project
COMMAND:ACTION,Annotate the document with your comments
COMMAND:ACTION,Arrange the files in alphabetical order
COMMAND:ACTION,Assemble the furniture by following the instructions
COMMAND:ACTION,Assemble the new desk by following the manual
COMMAND:ACTION,Assemble the team for a briefing
COMMAND:ACTION,Assemble the team for the meeting
COMMAND:ACTION,Attach the files to the email
COMMAND:ACTION,Authenticate your identity before proceeding
COMMAND:ACTION,Backup the database before making changes
COMMAND:ACTION,Be careful with that vase
COMMAND:ACTION,Be quiet
COMMAND:ACTION,Be sure to double-check your work before submitting
COMMAND:ACTION,Be sure to wear sunscreen on a sunny day
